Ethiopia,Hydro,13464.51,11
Ethiopia,Wind,492.37,1
Fiji,Hydro,468.86,4
Fiji,Wind,24.52,1
Finland,Coal,4683.2,5
Finland,Gas,2801.75,17
Finland,Hydro,10425.23,95
Finland,Nuclear,21780.52,2
Finland,Oil,107.94,11
Finland,Other,836.1600000000001,4
Finland,Wind,179.65,12
France,Coal,16319.68,5
France,Gas,20143.83,9
France,Hydro,64022.1,429
France,Nuclear,381718.79,19
France,Oil,4693.46,5
France,Solar,8348.26,817
France,Wind,16569.98,721
French Guiana,Hydro,399.29,1
French Guiana,Solar,9.84,1
Gabon,Hydro,938.07,3
Gabon,Oil,17.51,1
Georgia,Gas,4926.45,3
Georgia,Hydro,6295.95,16
Germany,Coal,234868.54,96
Germany,Gas,94676.14,180
Germany,Hydro,24315.58,112
Germany,Nuclear,75073.97,7
Germany,Oil,4256.610000000001,24
Germany,Other,2502.43,11
Germany,Solar,9888.06,735
Germany,Waste,3342.95,66
Germany,Wind,15607.74,25
Ghana,Gas,2809.24,2
Ghana,Hydro,4059.61,3
Ghana,Solar,34.38,1
Greece,Coal,18283.629999999997,6
Greece,Gas,17323.56,12
Greece,Hydro,4686.49,18
Greece,Oil,1021.6,3
Greece,Solar,436.25,38
Greece,Waste,0.0,1
Greece,Wind,493.75,12
Guatemala,Geothermal,297.78,2
Guatemala,Hydro,3982.37,30
Guatemala,Oil,432.85,19
Guatemala,Solar,309.5,3
Guatemala,Waste,0.0,2
Guatemala,Wind,131.73000000000002,2
Guinea,Hydro,1403.6299999999999,6
Honduras,Hydro,1455.36,12
Honduras,Oil,2640.34,5
Honduras,Solar,1536.78,15
Honduras,Waste,0.0,1
Honduras,Wind,323.73,1
Hungary,Coal,5139.74,3
Hungary,Gas,8533.91,8
Hungary,Nuclear,15111.29,1
Hungary,Oil,55.03,1
Hungary,Solar,130.3,5
Iceland,Hydro,5818.6,14
India,Coal,1079504.29,253
India,Gas,78495.62,68
India,Hydro,150461.95,233
India,Nuclear,58757.0,9
India,Oil,8334.4,17
India,Solar,53634.13,851
India,Wind,5292.26,108
Indonesia,Coal,159629.09,70
Indonesia,Gas,53375.59,41
Indonesia,Hydro,14229.55,41
Indonesia,Oil,1275.83,16
Iran,Gas,201857.32,60
Iran,Hydro,24920.46,19
Iran,Nuclear,7514.0,1
Iran,Oil,31177.46,18
Iran,Solar,189.75,8
